HRinfo ID,Preferred Term,ACRONYM,Group,Homepage,Date Created (Post Date),Updated date,Published
4,Emergency Shelter and NFI,SHL,Global Cluster,https://www.sheltercluster.org/,03/16/2017,,
1,Camp Coordination / Management,CCM,Global Cluster,http://www.globalcccmcluster.org,03/16/2017,,
5406,Mine Action,PRO-MIN,Area Of Responsibility,http://www.globalprotectioncluster.org/en/areas-of-responsibility/mine-action.html,03/16/2017,,
6,Food Security,FSC,Global Cluster,http://foodsecuritycluster.net/,03/16/2017,,
11,Water Sanitation Hygiene,WSH,Global Cluster,http://washcluster.net/,03/16/2017,,
8,Logistics,LOG,Global Cluster,http://www.logcluster.org/,03/16/2017,,
5403,Child Protection,PRO-CPN,Area Of Responsibility,http://cpwg.net/,03/16/2017,,
10,Protection,PRO,Global Cluster,http://www.globalprotectioncluster.org/,03/16/2017,,
3,Education,EDU,Global Cluster,http://educationcluster.net/,03/16/2017,,
9,Nutrition,NNUT,Global Cluster,http://nutritioncluster.net/,03/16/2017,,
7,Health,HEA,Global Cluster,http://www.who.int/health-cluster/en/,03/16/2017,,
2,Early Recovery,ERY,Global Cluster,http://earlyrecovery.global/,03/16/2017,,
5,Emergency Telecommunications,TEL,Global Cluster,https://www.etcluster.org/,03/16/2017,,
5404,Gender Based Violence,PRO-GBV,Area Of Responsibility,http://gbvaor.net/,03/16/2017,,
5405,"Housing, Land and Property",PRO-HLP,Area Of Responsibility,http://www.globalprotectioncluster.org/en/areas-of-responsibility/housing-land-and-property.html,03/16/2017,,